"package","version","declared_licence","technical_review","licence_files","licence_file_sha256","packaged_paths","repository","homepage"
"@babel/code-frame","7.29.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:117DA2AF0D4CE0FE1C8E19B5CFF9DCD806ADF973D328D27B11D4448C4FF24F76","node_modules/@babel/code-frame","https://github.com/babel/babel.git","https://babel.dev/docs/en/next/babel-code-frame"
"@babel/helper-validator-identifier","7.28.5","MIT","METADATA_RECORDED","LICENSE","LICENSE:117DA2AF0D4CE0FE1C8E19B5CFF9DCD806ADF973D328D27B11D4448C4FF24F76","node_modules/@babel/helper-validator-identifier","https://github.com/babel/babel.git",""
"@borewit/text-codec","0.2.2","MIT","METADATA_RECORDED","LICENSE.txt","LICENSE.txt:5B3AF80F317313A8B8C227B0C8BFFAE67728CFEC1786137B0553E625F2AFFEC9","node_modules/@borewit/text-codec","git+https://github.com/Borewit/text-codec.git",""
"@img/colour","1.1.0","MIT","METADATA_RECORDED","LICENSE.md","LICENSE.md:E2EAA4603C14CB26F301E88648C12A853FA3F0F5DA6D4B0972958C666E7F2AB8","node_modules/@img/colour","git+https://github.com/lovell/colour.git",""
"@img/sharp-win32-x64","0.35.4","Apache-2.0 AND LGPL-3.0-or-later","COPYLEFT_REVIEW","LICENSE","LICENSE:DC1F5D2D43C5531DFE0ACAF4E950EA5DBE3E61E1850CF0E983BDA7EFC10D6693","node_modules/@img/sharp-win32-x64","git+https://github.com/lovell/sharp.git","https://sharp.pixelplumbing.com"
"@isaacs/cliui","8.0.2","ISC","METADATA_RECORDED","LICENSE.txt","LICENSE.txt:2DC0465729366C3A7890DFA9E972A1BA7048A26C02116FB8B419A6A1AC110149","node_modules/@isaacs/cliui","yargs/cliui",""
"@lukeed/csprng","1.1.0","MIT","METADATA_RECORDED","license","license:9A9EDAD7BAAE52622BDDF3C15B2EF8A33D2C89F2D25408AD13E8A7481C6B0C97","node_modules/@lukeed/csprng","lukeed/csprng",""
"@nestjs/common","10.4.22","MIT","METADATA_RECORDED","LICENSE","LICENSE:4BD93E25A4B75E54A477DB8F387013CAEC2712EE8A3BCBACBF1BB676E7147A62","node_modules/@nestjs/common","https://github.com/nestjs/nest.git","https://nestjs.com"
"@nestjs/config","3.3.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:A0440AFA69DAE8C431E8F7B1F9C2332FAA1AEADD70306601366998F60D0BE449","node_modules/@nestjs/config","https://github.com/nestjs/config",""
"@nestjs/core","10.4.22","MIT","METADATA_RECORDED","LICENSE","LICENSE:4BD93E25A4B75E54A477DB8F387013CAEC2712EE8A3BCBACBF1BB676E7147A62","node_modules/@nestjs/core","https://github.com/nestjs/nest.git","https://nestjs.com"
"@nestjs/mapped-types","2.1.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:36BBFC7186994D7D1D5F8284D106727268820A4A7022A9D4F6BCA3EACFFF55A7","node_modules/@nestjs/mapped-types","https://github.com/nestjs/mapped-types",""
"@nestjs/platform-express","10.4.22","MIT","METADATA_RECORDED","LICENSE","LICENSE:4BD93E25A4B75E54A477DB8F387013CAEC2712EE8A3BCBACBF1BB676E7147A62","node_modules/@nestjs/platform-express","https://github.com/nestjs/nest.git","https://nestjs.com"
"@nestjs/schedule","4.1.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:C94CCF2EDE914BE92EC23120CEF202B812710B0045872FDD3451F3A11448F46D","node_modules/@nestjs/schedule","https://github.com/nestjs/schedule",""
"@nestjs/typeorm","10.0.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:87BFFDCBB37A8B4F041C472248C31686E68F946E0C452A4E3F74A6F377E378AD","node_modules/@nestjs/typeorm","https://github.com/nestjs/typeorm",""
"@nuxtjs/opencollective","0.3.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:CBD00CB9EE01AEB107A1F3F5BE42371BAE780C0C61B49594EDF803A6BEFCC95D","node_modules/@nuxtjs/opencollective","nuxt-contrib/opencollective",""
"@patrol/license-core","0.1.0","[missing]","INTERNAL_METADATA_REVIEW","","","node_modules/@patrol/license-core","",""
"@pkgjs/parseargs","0.11.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4","node_modules/@pkgjs/parseargs","git@github.com:pkgjs/parseargs.git","https://github.com/pkgjs/parseargs#readme"
"@puppeteer/browsers","2.13.0","Apache-2.0","METADATA_RECORDED","","","node_modules/@puppeteer/browsers","https://github.com/puppeteer/puppeteer/tree/main/packages/browsers",""
"@sqltools/formatter","1.2.5","MIT","METADATA_RECORDED","LICENSE","LICENSE:2F5A1284F0B1FAD3AEDBF891553F8E44D64EF4CFE7C9D44D105463ADF19B09BB","node_modules/@sqltools/formatter","https://github.com/mtxr/vscode-sqltools.git",""
"@tokenizer/inflate","0.2.7","MIT","METADATA_RECORDED","LICENSE","LICENSE:599CCCDA4D0EAA26E1B7B576C5077CFBBB6A9895714DF298D4E91460728E89FF","node_modules/@tokenizer/inflate","https://github.com/Borewit/tokenizer-inflate.git",""
"@tokenizer/token","0.3.0","MIT","METADATA_RECORDED","","","node_modules/@tokenizer/token","https://github.com/Borewit/tokenizer-token.git",""
"@tootallnate/quickjs-emscripten","0.23.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:CC8E9104738F96DADB50EE4AC9754FE46A7123AF52609FBF60470CE7D2868C38","node_modules/@tootallnate/quickjs-emscripten","https://github.com/justjake/quickjs-emscripten",""
"@types/luxon","3.4.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:C2CFCCB812FE482101A8F04597DFC5A9991A6B2748266C47AC91B6A5AAE15383","node_modules/@types/luxon","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/luxon"
"@types/node","20.19.37","MIT","METADATA_RECORDED","LICENSE","LICENSE:C2CFCCB812FE482101A8F04597DFC5A9991A6B2748266C47AC91B6A5AAE15383","node_modules/@types/node","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node"
"@types/validator","13.15.10","MIT","METADATA_RECORDED","LICENSE","LICENSE:C2CFCCB812FE482101A8F04597DFC5A9991A6B2748266C47AC91B6A5AAE15383","node_modules/@types/validator","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/validator"
"@types/yauzl","2.10.3","MIT","METADATA_RECORDED","LICENSE","LICENSE:C2CFCCB812FE482101A8F04597DFC5A9991A6B2748266C47AC91B6A5AAE15383","node_modules/@types/yauzl","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/yauzl"
"abort-controller","3.0.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:DBBF03317F0101FED5643CD87CA80FB769E358FA4F428445BF2315DEEB23A154","node_modules/abort-controller","git+https://github.com/mysticatea/abort-controller.git","https://github.com/mysticatea/abort-controller#readme"
"accepts","1.3.8","MIT","METADATA_RECORDED","LICENSE","LICENSE:71F83C4C0621102A56D9853812777B85751BCE7E9726F686F5B056C1F8A4B0E6","node_modules/accepts","jshttp/accepts",""
"agent-base","7.1.4","MIT","METADATA_RECORDED","LICENSE","LICENSE:8D8C55319C7729D57BE811C747452636688D54F19701EE0752B6B15AD3771D9A","node_modules/http-proxy-agent/node_modules/agent-base | node_modules/pac-proxy-agent/node_modules/agent-base | node_modules/proxy-agent/node_modules/agent-base | node_modules/socks-proxy-agent/node_modules/agent-base","https://github.com/TooTallNate/proxy-agents.git",""
"ansi-regex","5.0.1","MIT","METADATA_RECORDED","license","license:48DA2F39E100D4085767E94966B43F4FA95FF6A0698FBA57ED460914E35F94A0","node_modules/ansi-regex","chalk/ansi-regex",""
"ansi-regex","6.2.2","MIT","METADATA_RECORDED","license","license:5C932D88256B4AB958F64A856FA48E8BD1F55BC1D96B8149C65689E0C61789D3","node_modules/@isaacs/cliui/node_modules/ansi-regex","chalk/ansi-regex",""
"ansi-styles","4.3.0","MIT","METADATA_RECORDED","license","license:48DA2F39E100D4085767E94966B43F4FA95FF6A0698FBA57ED460914E35F94A0","node_modules/ansi-styles","chalk/ansi-styles",""
"ansi-styles","6.2.3","MIT","METADATA_RECORDED","license","license:5C932D88256B4AB958F64A856FA48E8BD1F55BC1D96B8149C65689E0C61789D3","node_modules/@isaacs/cliui/node_modules/ansi-styles","chalk/ansi-styles",""
"ansis","4.2.0","ISC","METADATA_RECORDED","LICENSE","LICENSE:87EC186AC7438102DB7EE5DAE084510A81277EF631235C7712639C146C554737","node_modules/ansis","webdiscus/ansis",""
"app-root-path","3.1.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:6A0C83DDB1D5392433A5FD6C1C2A5F1BAC3CCA63B6BE6712D178F526959A149D","node_modules/app-root-path","https://github.com/inxilpro/node-app-root-path.git","https://github.com/inxilpro/node-app-root-path"
"append-field","1.0.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:FE9A7F8B8AFC8CEA446E8D65A3BBF9BBE278D96C35320B43E57C47F26E447619","node_modules/append-field","http://github.com/LinusU/node-append-field.git",""
"archiver-utils","5.0.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:9FE335FB097FBFF0B7F709EE14A77B1D1CF739D3400CD0B0E19118946772EA56","node_modules/archiver-utils","https://github.com/archiverjs/archiver-utils.git","https://github.com/archiverjs/archiver-utils#readme"
"archiver","7.0.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:9E23899170D96E708B24A2AFCE11E96D169C8CEBF1BD24AC60B675A400CB1CF1","node_modules/archiver","https://github.com/archiverjs/node-archiver.git","https://github.com/archiverjs/node-archiver"
"argparse","2.0.1","Python-2.0","MULTI_OR_SPECIAL_LICENCE_REVIEW","LICENSE","LICENSE:DE4D1F2D2AD5AD0CFD1657A106476B31CB5DB5EF9D1FF842B237C0C81F0C8A23","node_modules/argparse","nodeca/argparse",""
"array-flatten","1.1.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:4EEB3271453A891DF609E5A9F4EE79A68307F730C13417A3BFEFFA604AC8CF25","node_modules/array-flatten","git://github.com/blakeembrey/array-flatten.git","https://github.com/blakeembrey/array-flatten"
"ast-types","0.13.4","MIT","METADATA_RECORDED","LICENSE","LICENSE:A374B737C41B30B1EC04C5FCC17D1B853F008F217CC43A9DBEA441ABD9AFDE70","node_modules/ast-types","git://github.com/benjamn/ast-types.git","http://github.com/benjamn/ast-types"
"async","0.2.10","MIT","METADATA_RECORDED","LICENSE","LICENSE:B04B9E208E566FA898C7429E4DD5B45BA3BA2F7391E5C009CF63C53D580FA9B4","node_modules/fluent-ffmpeg/node_modules/async","https://github.com/caolan/async.git",""
"async","3.2.6","MIT","METADATA_RECORDED","LICENSE","LICENSE:D9FED24F132985934FCA621C4DC1DFB53E03377A24D0568D424383D7EAA9C0AC","node_modules/async","https://github.com/caolan/async.git","https://caolan.github.io/async/"
"available-typed-arrays","1.0.7","MIT","METADATA_RECORDED","LICENSE","LICENSE:6D0917530CF3B3DCA12C1AB7798E4D38AD0A6798ECC1BD27849A3048BA91D265","node_modules/available-typed-arrays","git+https://github.com/inspect-js/available-typed-arrays.git","https://github.com/inspect-js/available-typed-arrays#readme"
"b4a","1.8.1","Apache-2.0","METADATA_RECORDED","LICENSE","LICENSE:C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4","node_modules/b4a","git+https://github.com/holepunchto/b4a.git","https://github.com/holepunchto/b4a#readme"
"balanced-match","1.0.2","MIT","METADATA_RECORDED","LICENSE.md","LICENSE.md:A1BD5DEADB6A06DD74EFA852C1B8B23F63B67F2214FBE9C8BD591DA51DA69268","node_modules/balanced-match","git://github.com/juliangruber/balanced-match.git","https://github.com/juliangruber/balanced-match"
"bare-events","2.8.3","Apache-2.0","METADATA_RECORDED","LICENSE","LICENSE:C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4","node_modules/bare-events","git+https://github.com/holepunchto/bare-events.git","https://github.com/holepunchto/bare-events#readme"
"bare-fs","4.7.1","Apache-2.0","METADATA_RECORDED","LICENSE","LICENSE:C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4","node_modules/bare-fs","git+https://github.com/holepunchto/bare-fs.git","https://github.com/holepunchto/bare-fs#readme"
"bare-os","3.9.1","Apache-2.0","METADATA_RECORDED","LICENSE","LICENSE:C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4","node_modules/bare-os","git+https://github.com/holepunchto/bare-os.git","https://github.com/holepunchto/bare-os#readme"
"bare-path","3.0.0","Apache-2.0","METADATA_RECORDED","LICENSE | NOTICE","LICENSE:C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4 | NOTICE:FD4098360DE4B9FB2E003AC7C852E8C86F264A1D6E27C47128E8C8075C81249B","node_modules/bare-path","git+https://github.com/holepunchto/bare-path.git","https://github.com/holepunchto/bare-path#readme"
"bare-stream","2.13.1","Apache-2.0","METADATA_RECORDED","LICENSE","LICENSE:C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4","node_modules/bare-stream","git+https://github.com/holepunchto/bare-stream.git","https://github.com/holepunchto/bare-stream#readme"
"bare-url","2.4.3","Apache-2.0","METADATA_RECORDED","LICENSE","LICENSE:C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4","node_modules/bare-url","git+https://github.com/holepunchto/bare-url.git","https://github.com/holepunchto/bare-url"
"base64-js","1.5.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:5B37224C080CDCC97C871ADA971C224E9926370FE74F11B539AA1CF9F3B1ACA1","node_modules/base64-js","git://github.com/beatgammit/base64-js.git","https://github.com/beatgammit/base64-js"
"basic-ftp","5.3.1","MIT","METADATA_RECORDED","LICENSE.txt","LICENSE.txt:5B417C1F5EE996875E86B4959851C94E102EDBBB3C68199BD3336C7351C924F9","node_modules/basic-ftp","https://github.com/patrickjuchli/basic-ftp.git",""
"beep-boop","1.2.3","[missing]","MISSING_METADATA_REVIEW","","","node_modules/github-from-package/example","git@github.com:substack/beep-boop.git",""
